"Rank","Username","Full Name","Points","vpc_a","vpc_b","vpc_c","vpc_d","vpc_e","vpc_f","vpc_g","vpc_h","vpc_i","vpc_j"
"84","official_VPC059","Cô em may áo mới","450","100 (1)","150 (2)","200 (1)","0 (4)","0 (3)","","","","",""
"85","official_VPC145","300kg","450","100 (2)","150 (6)","200 (9)","","","0 (6)","0 (12)","","",""
"86","official_VPC012","CSKH","450","100","150 (1)","200","","0 (11)","","0 (1)","","",""
"87","official_VPC104","VTWINGS","450","100","150 (5)","200 (4)","","0 (8)","","","","",""
"88","official_VPC155","444","450","100 (4)","150 (2)","200","","","0 (1)","","","",""
"89","official_VPC041","IVA-HTQ","450","100","150 (6)","200 (14)","","0 (14)","","","","",""
"90","official_VPC037","Limited","450","100 (1)","150 (5)","200 (5)","","0 (20)","","","","",""
"91","official_VPC050","GPDN-PT9","450","100 (6)","150 (2)","200 (3)","","0 (10)","","","","",""
"92","official_VPC107","HDD","450","100","150 (3)","200 (6)","","0 (4)","","","","",""
"93","official_VPC058","SAD BOYS","450","100","150 (6)","200 (4)","","","0 (1)","","","",""
"94","official_VPC102","Chicken2","446","100","150 (2)","0 (10)","","0 (3)","196","","","",""
"95","official_VPC123","VDS9","422","100 (1)","150 (19)","0 (1)","","","172 (11)","","","",""
"96","official_VPC156","Binary Squad","396","100 (2)","0 (4)","200","","0 (3)","96","","","",""
"97","official_VPC120","VDS6","392","100","0 (2)","200 (1)","","","92","","","",""
"98","official_VPC098","BugMakers","378","100 (1)","150 (2)","0 (5)","","0 (1)","128","0 (1)","","",""
"99","official_VPC029","MSS","370","100 (3)","150","0 (6)","","","120","0 (1)","","",""
"100","official_VPC148","C4I","370","100 (1)","150 (3)","0 (6)","","","120 (3)","","","",""
"101","official_VPC039","TST","363","100","0 (4)","200 (4)","","0 (2)","","0 (2)","","","63 (2)"
"102","official_VPC056","404 Not Found","358","100","150 (1)","0 (1)","","","108 (3)","0 (2)","","",""
"103","official_VPC110","CNS","342","100","150 (5)","0 (3)","","0 (8)","92","","","",""
"104","official_VPC136","DDL","342","100 (9)","150 (4)","","","0 (12)","92","","","",""
"105","official_VPC031","VCS-V2S","334","100 (1)","150 (3)","","","","84","","","",""
"106","official_VPC146","Desperately","304","100","0 (11)","0 (2)","","0 (15)","204","","","",""
"107","official_VPC008","HDC","304","100","0 (12)","0 (3)","","0 (6)","204","","","",""
"108","official_VPC034","Data Pro","304","100 (1)","0 (1)","","","","204","","","",""
"109","official_VPC113","CĐS1","300","100","0 (10)","200 (1)","0 (9)","","","","","",""
"110","official_VPC105","001_ORG_CHARGE","300","100 (2)","0 (11)","200 (1)","","","","0 (15)","","",""
"111","official_VPC096","CamelStyle4","300","100 (1)","0 (16)","200","","0 (4)","","","","",""
"112","official_VPC118","VDS4","300","100 (2)","0 (4)","200 (2)","","0 (2)","","0 (4)","","",""
"113","official_VPC033","SMAS Pro","300","100 (2)","0 (16)","200 (1)","","","0 (3)","","","",""
"114","official_VPC052","GPDN-PT11","300","100 (1)","","200 (10)","","","0 (1)","","","",""
"115","official_VPC071","ABC","300","100 (3)","0 (7)","200 (3)","","0 (23)","","0 (5)","","",""
"116","official_VPC009","LVT","300","100 (13)","0 (23)","200 (7)","","","0 (3)","","","",""
"117","official_VPC094","CamelStyle2","300","100 (6)","0 (11)","200 (7)","","","","","","",""
"118","official_VPC131","Innovation Insiders","290","100 (1)","150 (1)","","","","40","0 (10)","","",""
"119","official_VPC150","ProIDC","266","100 (4)","150 (1)","0 (2)","","0 (11)","16","0 (4)","","",""
"120","official_VPC048","GPDN-PT7","260","100 (5)","0 (24)","","","","160 (5)","","","",""
"121","official_VPC065","Jawbreakers","250","100 (2)","150 (1)","0 (2)","","0 (3)","","","","",""
"122","official_VPC060","Pơ phệt","250","100","150","","0 (6)","0 (12)","","0 (4)","","",""
"123","official_VPC079","VPC079","250","100 (2)","150","0 (3)","","0 (23)","","","","",""
"124","official_VPC010","QLC","250","100","150 (2)","","","0 (6)","","","","",""
"125","official_VPC066","Coder cày chay","250","100","150","0 (3)","","0 (7)","","","","",""
"126","official_VPC032","HAT","250","100 (3)","150","0 (2)","","0 (7)","","","","",""
"127","official_VPC067","Lom dom","250","100","150 (3)","","0 (1)","0 (16)","","0 (2)","","",""
"128","official_VPC158","SCREAMING_SNAKE_CASE","250","100","150","","","0 (1)","","0 (16)","","",""
"129","official_VPC070","VPC070","250","100","150 (11)","","","0 (16)","0 (2)","","","",""
"130","official_VPC119","VDS5","250","100 (4)","150 (11)","","","","","","","",""
"131","official_VPC132","Logic Legends","250","100","150 (1)","","","","","0 (2)","","",""
"132","official_VPC090","VSS2","250","100 (2)","150 (5)","0 (3)","","0 (26)","","0 (13)","","",""
"133","official_VPC049","GPDN-PT8","250","100","150 (11)","","","","","","","",""
"134","official_VPC125","VDS11","250","100","150 (1)","","","","","","","",""
"135","official_VPC106","FPT","250","100 (7)","150 (7)","","","","","","","",""
"136","official_VPC020","CA","244","100","0 (16)","","","0 (9)","144","","","",""
"137","official_VPC014","BCCS_VTG","224","100 (1)","","0 (6)","","","124 (9)","","","",""
"138","official_VPC073","VPC073","220","100","0 (2)","","","0 (5)","120","0 (3)","","",""
"139","official_VPC062","code 4 fun","200","0 (4)","","200 (4)","","","","","","",""
"140","official_VPC166","Chienpa","184","100 (2)","0 (14)","","","","84","","","",""
"141","official_VPC068","VPC068","100","100","0 (16)","0 (3)","","0 (8)","0 (5)","","0 (3)","",""
"142","official_VPC064","Diamond Boyz","100","100","0 (14)","","","0 (23)","","","","",""
"143","official_VPC167","VTM","100","100","0 (9)","0 (3)","","0 (5)","","","","",""
"144","official_VPC127","VDS13","100","100","","","","0 (11)","","0 (3)","","",""
"145","official_VPC072","VPC072","100","100","","","","0 (25)","","","","",""
"146","official_VPC054","Exception","100","100 (1)","0 (16)","","","","","","","",""
"147","official_VPC103","CML","100","100","0 (2)","","","0 (2)","","","","",""
"148","official_VPC126","VDS12","100","100 (3)","0 (8)","","","","","","","",""
"149","official_VPC097","Học_Dốt_Toán","100","100","0 (10)","","0 (1)","","","","","",""
"150","official_VPC013","Chiến dịch","100","100 (7)","0 (4)","","","0 (4)","","0 (13)","","",""
"151","official_VPC055","Nothing","100","100 (2)","0 (10)","","","","","","","",""
"152","official_VPC007","404 Not Found","100","100 (6)","0 (4)","","","0 (6)","","","","",""
"153","official_VPC011","MYVIETTEL","100","100 (1)","","","","0 (2)","","0 (1)","0 (4)","",""
"154","official_VPC024","VMC_01","100","100 (7)","0 (17)","","","","","","","",""
"155","official_VPC081","VPC081","100","100 (14)","0 (40)","","","","0 (2)","","","",""
"156","official_VPC025","VMC_02","0","0 (38)","","","","","","","0 (9)","",""
"156","official_VPC115","VDS1","0","0 (15)","","0 (2)","","","","","","",""
"156","official_VPC004","VAS2","0","0 (21)","","","","","0 (3)","","","",""
"156","official_VPC133","Code Conquerors","0","0 (10)","","","","0 (15)","","","","",""
"156","official_VPC141","VDS15","0","0 (21)","","","","","0 (1)","","","",""
"156","official_VPC117","VDS3","0","0 (11)","0 (2)","0 (3)","","","0 (6)","","","",""
"156","official_VPC040","No Bugs","0","0 (9)","","","","","","","","",""
"156","official_VPC138","DHA","0","","","","","","","","","",""
"Total AC","154","114","98","1","19","9","11","0","1","0"
