"Rank","Username","Full Name","Points","vpc_a","vpc_b","vpc_c","vpc_d","vpc_e","vpc_f","vpc_g","vpc_h","vpc_i","vpc_j"
"40","9try0hope","9try0hope","570","100","150","200","","0? [2]","120","","","","? [1]"
"41","NPC","NPC","570","100 (1)","150 (2)","200 (4)","","? [6]","120? [1]","0? [6]","","",""
"42","Tôi yêu Viettel","Tôi yêu Viettel","570","100 (3)","150 (4)","200 (1)","","? [5]","120? [1]","","0? [1]","",""
"43","VPC083","VPC083","570","100","150 (6)","200","","0? [24]","120? [2]","","","",""
"44","SouthPerfect","SouthPerfect","570","100","150 (4)","200","","0? [4]","120","? [2]","","",""
"45","SWWS","SWWS","570","100","150 (3)","200","","0? [2]","120","0? [2]","","",""
"46","VDS14","VDS14","570","100 (1)","150 (15)","200 (1)","","0? [11]","120? [1]","","","",""
"47","AHA","AHA","540","100 (1)","150","200","","0? [2]","90? [2]","","","",""
"48","VDS8","VDS8","534","100 (1)","150 (3)","200 (3)","","","84? [10]","? [2]","","",""
"49","Exam Pro","Exam Pro","526","100 (1)","150","200 (6)","0 (6)","? [12]","76 (2)","","","",""
"50","VDS10","VDS10","504","100","","200","","? [5]","204","","","",""
"51","VDS2","VDS2","502","100 (1)","150 (4)","200 (4)","","0 (1)","52? [2]","? [1]","","",""
"52","GPDN-PT1","GPDN-PT1","492","100 (2)","0? [5]","","","","392","","0 (1)","",""
"53","Chim cook","Chim cook","490","100 (1)","150","200","","","40? [1]","","","",""
"54","OSINT","OSINT","454","100","150","0 (3)","","","204","","","",""
"55","QLBH","QLBH","454","100 (3)","150 (7)","? [8]","","0? [6]","204","","","",""
"56","Red Team","Red Team","454","100 (3)","150 (7)","? [1]","","","204","","","",""
"57","Mèo méo meo","Mèo méo meo","454","100 (3)","150 (2)","? [11]","","","204 (1)","","","",""
"58","VPC074","VPC074","450","100","150","200","","0? [3]","","","","? [1]",""
"59","HKT","HKT","450","100 (1)","150","200","","0 (6)","","0 (5)","","","? [5]"
"60","Thủy Minh Quốc","Thủy Minh Quốc","450","100","150","200","","0? [1]","? [3]","0? [4]","","",""
"61","VPC076","VPC076","450","100","150","200","","0? [6]","? [2]","0 (5)","","",""
"62","TDH St","TDH St","450","100","150 (3)","200","","0? [9]","0 (2)","","0 (2)","",""
"63","Bhola","Bhola","450","100 (1)","150","200 (2)","","0 (23)","? [1]","0 (6)","","",""
"64","NSM-Suite","NSM-Suite","450","100 (3)","150","200","0 (1)","0? [7]","? [1]","","","",""
"65","GPDN-PT3","GPDN-PT3","450","100","150 (2)","200 (4)","","0? [4]","","","","",""
"66","Star Rail","Star Rail","450","100","150","200","","0 (7)","? [4]","0 (1)","","",""
"67","Không_Cần_Code","Không_Cần_Code","450","100","150 (10)","200 (5)","","0 (12)","? [2]","","","",""
"68","3 chàng ngốc","3 chàng ngốc","450","100 (2)","150 (2)","200 (1)","","? [4]","0 (1)","0 (3)","","",""
"69","GPDN-PT10","GPDN-PT10","450","100","150 (1)","200","","? [3]","? [1]","","","",""
"70","MAC","MAC","450","100","150","200 (6)","","? [2]","","? [2]","","",""
"71","Cô em may áo mới","Cô em may áo mới","450","100 (1)","150 (2)","200 (1)","0? [1]","? [3]","","","","",""
"72","300kg","300kg","450","100 (2)","150 (6)","200 (9)","","","0 (6)","0? [11]","","",""
"73","CSKH","CSKH","450","100","150 (1)","200","","? [11]","","0 (1)","","",""
"74","VTWINGS","VTWINGS","450","100","150 (5)","200 (4)","","0? [5]","","","","",""
"75","Thi_Cho_Vui","Thi_Cho_Vui","450","100 (1)","150 (5)","200 (1)","","0 (3)","? [1]","0? [3]","","","? [1]"
"76","QLDT2","QLDT2","450","100 (5)","150 (4)","200 (1)","","","? [1]","","","",""
"77","444","444","450","100 (4)","150 (2)","200","","","? [1]","","","",""
"78","IVA-HTQ","IVA-HTQ","450","100","150 (6)","200 (14)","","0? [10]","","","","",""
"79","Limited","Limited","450","100 (1)","150 (5)","200 (5)","","0? [12]","","","","",""
"80","Xa gồi","Xa gồi","450","100","150 (11)","200","","? [4]","? [1]","","","",""
"81","HDD","HDD","450","100","150 (3)","200 (6)","","? [4]","","","","",""
"82","GPDN-PT6","GPDN-PT6","450","100 (13)","150","200 (4)","","","? [3]","","","",""
"83","Chicken2","Chicken2","446","100","150 (2)","0 (10)","","? [3]","196? [4]","","","",""
"84","NoHope","NoHope","430","100","150","","","","180 (4)","0? [2]","0 (1)","","? [1]"
"85","Nobody","Nobody","374","100 (1)","150 (2)","0? [1]","","","124 (1)","","","",""
"86","MSS","MSS","370","100 (3)","150","0 (6)","","","120? [1]","? [1]","","",""
"87","QLDT1","QLDT1","370","100 (1)","150 (8)","0? [3]","","0? [1]","120","? [1]","","",""
"88","Mobile","Mobile","370","100 (1)","150 (3)","0 (2)","","","120","","","? [2]",""
"89","404 Not Found","404 Not Found","358","100","150 (1)","0 (1)","","","108 (3)","? [2]","","",""
"90","CNS","CNS","342","100","150 (5)","0 (3)","","0? [3]","92","","","",""
"91","DDL","DDL","342","100 (9)","150 (4)","","","0? [8]","92","","","",""
"92","Desperately","Desperately","304","100","0 (11)","0 (2)","","0? [13]","204","","","",""
"93","HDC","HDC","304","100","0? [2]","0 (3)","","0? [4]","204","","","",""
"94","Data Pro","Data Pro","304","100 (1)","? [1]","","","","204","","","",""
"95","CĐS1","CĐS1","300","100","0? [7]","200 (1)","0 (9)","","","","","",""
"96","VDS6","VDS6","300","100","? [2]","200 (1)","","","? [2]","","","",""
"97","001_ORG_CHARGE","001_ORG_CHARGE","300","100 (2)","0? [2]","200 (1)","","","","0? [10]","","",""
"98","TST","TST","300","100","0 (4)","200 (4)","","? [2]","","0? [1]","","","0? [4]"
"99","CamelStyle4","CamelStyle4","300","100 (1)","0? [8]","200","","0? [3]","","","","",""
"100","GPDN-PT4","GPDN-PT4","300","100","0? [4]","200 (2)","","","0? [9]","","","",""
"101","VDS4","VDS4","300","100 (2)","0 (4)","200 (2)","","? [2]","","0 (4)","","",""
"102","SMAS Pro","SMAS Pro","300","100 (2)","0? [1]","200 (1)","","","0? [1]","","","",""
"103","Binary Squad","Binary Squad","300","100 (2)","0? [2]","200","","0? [1]","? [1]","","","",""
"104","GPDN-PT11","GPDN-PT11","300","100 (1)","","200 (10)","","","? [1]","","","",""
"105","LVT","LVT","300","100 (13)","0? [6]","200 (7)","","","? [3]","","","",""
"106","CamelStyle2","CamelStyle2","300","100 (6)","0? [10]","200 (7)","","","","","","",""
"107","Innovation Insiders","Innovation Insiders","290","100 (1)","150 (1)","","","","40","0? [4]","","",""
"108","ProIDC","ProIDC","266","100 (4)","150 (1)","0 (2)","","0? [4]","16","? [4]","","",""
"109","GPDN-PT7","GPDN-PT7","260","100 (5)","0? [8]","","","","160 (5)","","","",""
"110","VDS9","VDS9","256","100 (1)","0? [9]","? [1]","","","156? [3]","","","",""
"111","VPC084","VPC084","250","100 (1)","150 (1)","0? [6]","","0 (28)","","? [5]","","",""
"112","Jawbreakers","Jawbreakers","250","100 (2)","150 (1)","0 (2)","","0? [1]","","","","",""
"113","Pơ phệt","Pơ phệt","250","100","150","","0 (6)","0? [6]","","0 (4)","","",""
"114","BugMakers","BugMakers","250","100 (1)","150 (2)","0? [1]","","0 (1)","? [1]","? [1]","","",""
"115","C4I","C4I","250","100 (1)","150 (3)","0? [3]","","","? [9]","","","",""
"116","VPC079","VPC079","250","100 (2)","150","0 (3)","","0? [20]","","","","",""
"117","QLC","QLC","250","100","150 (2)","","","0 (6)","","","","",""
"118","VCS-V2S","VCS-V2S","250","100 (1)","150 (3)","","","","? [1]","","","",""
"119","Coder cày chay","Coder cày chay","250","100","150","0 (3)","","0? [5]","","","","",""
"120","HAT","HAT","250","100 (3)","150","0 (2)","","0? [6]","","","","",""
"121","GPDN-PT9","GPDN-PT9","250","100 (6)","150 (2)","0? [2]","","0? [5]","","","","",""
"122","Lom dom","Lom dom","250","100","150 (3)","","0 (1)","0? [3]","","? [2]","","",""
"123","SCREAMING_SNAKE_CASE","SCREAMING_SNAKE_CASE","250","100","150","","","0 (1)","","0? [9]","","",""
"124","SPM","SPM","250","100","150 (8)","","","? [8]","? [1]","0? [1]","","",""
"125","VPC070","VPC070","250","100","150 (11)","","","0? [4]","0 (2)","","","",""
"126","VDS7","VDS7","250","100","150 (9)","","","0? [5]","? [1]","","","",""
"127","VDS5","VDS5","250","100 (4)","150 (11)","","","","","","","",""
"128","Logic Legends","Logic Legends","250","100","150 (1)","","","","","0 (2)","","",""
"129","CA","CA","244","100","0? [9]","","","0? [2]","144","","","",""
"130","VAS1","VAS1","240","0? [2]","","? [2]","","","240 (2)","","","",""
"131","BCCS_VTG","BCCS_VTG","224","100 (1)","","0 (6)","","","124? [3]","","","",""
"132","code 4 fun","code 4 fun","200","0? [2]","","200 (4)","","","","","","",""
"133","VPC068","VPC068","100","100","0? [3]","0 (3)","","0 (8)","0? [1]","","0 (3)","",""
"134","Diamond Boyz","Diamond Boyz","100","100","0? [4]","","","0? [12]","","","","",""
"135","VSS2","VSS2","100","100 (2)","0? [1]","0 (3)","","0? [15]","","0? [5]","","",""
"136","VTM","VTM","100","100","0? [2]","0 (3)","","0? [4]","","","","",""
"137","SAD BOYS","SAD BOYS","100","100","0? [4]","0? [3]","","","0 (1)","","","",""
"138","VPC073","VPC073","100","100","0 (2)","","","0 (5)","? [1]","? [3]","","",""
"139","VDS13","VDS13","100","100","","","","0? [10]","","0 (3)","","",""
"140","VPC072","VPC072","100","100","","","","0? [6]","","","","",""
"141","ABC","ABC","100","100 (3)","0? [4]","? [4]","","0? [9]","","0 (5)","","",""
"142","Exception","Exception","100","100 (1)","0? [3]","","","","","","","",""
"143","GPDN-PT8","GPDN-PT8","100","100","0? [1]","","","","","","","",""
"144","CML","CML","100","100","0 (2)","","","0 (2)","","","","",""
"145","VDS12","VDS12","100","100 (3)","0? [6]","","","","","","","",""
"146","Học_Dốt_Toán","Học_Dốt_Toán","100","100","0 (10)","","? [1]","","","","","",""
"147","Chienpa","Chienpa","100","100 (2)","0? [3]","","","","? [5]","","","",""
"148","Chiến dịch","Chiến dịch","100","100 (7)","0 (4)","","","? [4]","","0? [9]","","",""
"149","Nothing","Nothing","100","100 (2)","0? [6]","","","","","","","",""
"150","404 Not Found","404 Not Found","100","100 (6)","0 (4)","","","? [6]","","","","",""
"151","FPT","FPT","100","100 (7)","0? [4]","","","","","","","",""
"152","VDS11","VDS11","100","100","0? [1]","","","","","","","",""
"153","MYVIETTEL","MYVIETTEL","100","100 (1)","","","","? [2]","","0 (1)","0 (4)","",""
"154","VMC_01","VMC_01","100","100 (7)","? [17]","","","","","","","",""
"155","VPC081","VPC081","100","100 (14)","0? [20]","","","","? [2]","","","",""
"156","VMC_02","VMC_02","0","0? [9]","","","","","","","? [9]","",""
"156","VDS1","VDS1","0","0 (15)","","? [2]","","","","","","",""
"156","VAS2","VAS2","0","0 (21)","","","","","0 (3)","","","",""
"156","Code Conquerors","Code Conquerors","0","0 (10)","","","","0? [12]","","","","",""
"156","VDS15","VDS15","0","0? [11]","","","","","0 (1)","","","",""
"156","VDS3","VDS3","0","0 (11)","0 (2)","0 (3)","","","? [6]","","","",""
"156","No Bugs","No Bugs","0","0 (9)","","","","","","","","",""
"156","DHA","DHA","0","","","","","","","","","",""
"Total AC","153","107","89","0","12","7","7","0","0","0"
